Unnamed: 0,주차,생장길이,화방높이,줄기굵기,잎길이(엽장),잎수,착과군,개화군,수확수,열매수
1,48.0,11.8333333333333,21.3333333333333,13.0433333333333,49.6666666666667,10.0,0.0,0.0,0.0,10.0
2,49.0,11.8333333333333,22.5,13.5983333333333,49.3333333333333,10.6666666666667,0.0,0.0,0.0,18.1666666666667
3,50.0,11.0,18.8333333333333,12.6066666666667,48.5,10.3333333333333,0.0,0.0,0.0,17.1666666666667
4,51.0,11.1666666666667,17.0,12.7316666666667,46.5,8.66666666666667,0.0,0.0,0.0,17.6666666666667
5,52.0,9.33333333333333,20.8333333333333,12.6366666666667,44.6666666666667,10.3333333333333,0.0,0.0,0.0,16.6666666666667
6,1.0,10.3333333333333,23.5,13.1733333333333,44.3333333333333,8.16666666666667,0.0,0.0,0.0,16.1666666666667
7,2.0,12.3333333333333,18.0,12.14,42.3333333333333,9.5,0.0,0.0,0.0,16.3333333333333
8,3.0,10.3333333333333,23.5,13.315,44.1666666666667,10.1666666666667,0.0,0.0,0.0,15.8333333333333
9,4.0,15.0,25.1666666666667,13.8733333333333,42.0,9.5,0.0,0.0,0.0,16.5
10,5.0,14.5,20.0,0.0,42.1666666666667,9.5,0.0,0.0,0.0,18.1666666666667
11,6.0,15.5,31.0,0.0,43.0,9.83333333333333,0.0,0.0,0.0,19.3333333333333
12,7.0,14.6666666666667,14.6666666666667,13.75,43.0,11.8333333333333,0.0,0.0,0.0,19.3333333333333
13,8.0,20.3333333333333,20.0,13.1483333333333,43.3333333333333,12.8333333333333,0.0,0.0,0.0,20.8333333333333
14,9.0,15.3333333333333,31.1666666666667,0.0,43.8333333333333,11.1666666666667,0.0,0.0,0.0,20.6666666666667
0,48.0,19.2333333333333,30.0090909090909,10.5841666666667,46.7916666666667,9.83333333333333,9.05333333333333,9.30333333333333,0.0,18.4166666666667
1,49.0,17.85,34.84,10.6333333333333,46.5916666666667,8.25,9.41583333333333,9.80416666666667,0.0,15.75
2,50.0,13.9666666666667,32.96,10.2766666666667,47.75,8.0,9.77583333333333,10.3308333333333,0.0,15.9166666666667
3,51.0,17.0583333333333,33.6,9.77666666666667,48.0833333333333,8.58333333333333,10.415,10.72,0.0,16.3333333333333
4,52.0,16.525,32.5083333333333,10.3733333333333,46.4333333333333,8.91666666666667,11.0533333333333,11.1933333333333,0.0,15.3333333333333
5,1.0,16.2208333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2.0,16.2208333333333,29.7333333333333,10.6116666666667,45.1666666666667,9.75,11.9175,12.4433333333333,0.0,14.1666666666667
7,3.0,15.8333333333333,30.7583333333333,11.7316666666667,43.5916666666667,8.75,12.4991666666667,13.0825,0.0,13.6666666666667
8,4.0,16.9083333333333,31.6583333333333,12.3183333333333,44.2583333333333,9.91666666666667,13.1116666666667,13.6241666666667,0.0,13.8333333333333
9,5.0,18.0083333333333,32.8909090909091,12.5825,42.7666666666667,10.4166666666667,13.7641666666667,14.4583333333333,0.0,13.5833333333333
10,6.0,20.4,27.9272727272727,12.3941666666667,39.2833333333333,12.5,14.6666666666667,15.1033333333333,0.0,14.6666666666667
11,7.0,16.8583333333333,33.4166666666667,13.1333333333333,40.9916666666667,12.8333333333333,15.3055555555556,15.6066666666667,0.0,15.8333333333333
12,8.0,19.425,26.73,12.8633333333333,42.253,14.3333333333333,15.8888888888889,16.3591666666667,0.0,15.75
13,9.0,19.8833333333333,30.9818181818182,12.4791666666667,40.8333333333333,13.3333333333333,16.6041666666667,17.0475,0.0,17.25
14,10.0,23.625,22.3666666666667,10.6208333333333,40.4166666666667,14.8333333333333,17.3222222222222,17.8883333333333,0.0,17.5
0,19.0,21.0,12.5166666666667,6.84333333333333,38.25,13.1666666666667,22.1925925925926,22.5783333333333,0.0,24.6666666666667
1,20.0,25.5333333333333,17.15,8.03666666666667,38.7833333333333,14.8333333333333,23.1277777777778,23.3416666666667,0.0,22.0
2,15.0,23.9666666666667,17.8833333333333,9.63333333333333,39.3083333333333,13.6666666666667,19.031746031746,19.4283333333333,0.0,23.5
3,16.0,24.4333333333333,12.55,7.44833333333333,38.1,14.5,19.802380952381,20.1666666666667,0.0,24.8333333333333
4,17.0,26.2666666666667,13.2,7.71666666666667,38.3833333333333,13.8333333333333,20.7526455026455,21.1016666666667,0.0,24.1666666666667
5,9.0,22.8333333333333,23.8833333333333,10.9233333333333,42.6166666666667,11.5,14.3849206349206,14.7466666666667,0.0,21.0
6,10.0,22.3333333333333,20.5333333333333,10.23,40.0333333333333,12.8333333333333,15.184126984127,15.5633333333333,0.0,21.6666666666667
7,11.0,23.6166666666667,28.5833333333333,10.3216666666667,40.55,12.0,15.7797619047619,16.1466666666667,0.0,23.3333333333333
8,6.0,18.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
9,7.0,18.275,32.95,11.875,47.75,10.8333333333333,12.6845238095238,12.97,0.0,19.5
10,8.0,21.6,22.25,11.6266666666667,44.95,11.1666666666667,13.5992063492063,14.055,0.0,19.8333333333333
11,3.0,20.65,27.9,11.1883333333333,45.55,8.33333333333333,10.4444444444444,10.7983333333333,0.0,17.3333333333333
12,4.0,17.0833333333333,28.1666666666667,10.6466666666667,46.5333333333333,8.5,11.027380952381,11.3383333333333,0.0,18.8333333333333
13,5.0,19.2,26.4833333333333,10.135,47.1666666666667,10.5,11.6121031746032,11.94,0.0,19.1666666666667
