주차,생장길이,화방높이,줄기굵기,잎길이(엽장),잎수,착과군,개화군,열매수,,,,,,,,
3,20.65,27.9,11.18833333,45.55,8.333333333,10.44444444,10.79833333,17.33333333,,,,,,,,
4,17.08333333,28.16666667,10.64666667,46.53333333,8.5,11.02738095,11.33833333,18.83333333,,,,,,,,
5,19.2,26.48333333,10.135,47.16666667,10.5,11.61210317,11.94,19.16666667,,,,,,,,
52,21.7,23.53333333,10.61666667,42.96666667,9.5,8.834722222,9.319166667,23.66666667,,,,,,,,
51,14.05,11.575,9.2975,44.8,13,9.5875,9.994047619,18.25,,,,,,,,
52,0,12.4,10.17,43.75,12.25,10.56666667,10.95238095,17,,,,,,,,
1,0,0,0,0,0,0,4.15625,0,,,,,,,,
2,19.6125,18.625,10.8425,43.425,11.25,11.58333333,12.1797619,15.75,,,,,,,,
3,22.025,11.55,9.16,44.1,11.75,12.3125,13.0360119,18.25,,,,,,,,
4,25.925,15.575,11.6,44.475,14,13.00833333,13.875,17.75,,,,,,,,
5,28.225,15.25,10.0075,41.875,13.75,13.975,14.39285714,22,,,,,,,,
6,28.275,18.25,11.3525,43.075,12.75,14.7,15.31587302,20.5,,,,,,,,
7,21.275,14.5,10.5325,41.6,15.5,15.5875,16.29004329,22,,,18.66333119,,,,,
8,22.95,16.375,10,41.575,11.5,15.9375,16.6625,21.25,,,,,,,,
9,23.675,12.16666667,7.12,38,14.25,16.69924242,17.64880952,21,,,,,,,,
10,25.1,10.95,8.22,37.65,14,17.53571429,18.39626623,24.25,,,,,,,,
11,22.525,11.6,6.48,34.1,12,18.40555556,19.35,22,,,,,,,,
12,21.45,7.5,5.7475,34.625,15.25,19.55,20.2,22.75,,,,,,,,
7,13.4,12.35,8.035,41.25,15.75,10.575,11.33333333,22.5,,,,,,,,
8,21.675,18.575,11.0575,44.15,14.75,12,12.43333333,25.25,,,,,,,,
9,12.6,14.125,9.6,42.525,13.25,12.625,13.08333333,24.5,,,,,,,,
10,17.7,14.375,9.82,43.1,15.75,13.15,13.61160714,24.25,,,,,,,,
11,20.65,16.7,10.555,40.975,15.5,14.25,14.50446429,25.5,,,,,,,,
12,26.425,13.9,11.1475,42.375,16,14.91666667,15.61904762,23,,,,,,,,
13,16.225,9.25,8.51,36.95,17,15.82857143,14.39285714,28,,,,,,,,
14,27.15,12.275,9.6025,42.525,16.25,17.08333333,16.66666667,29,,,,,,,,
15,26.25,12.075,8.8425,41.375,15,17.875,18.47777778,29.75,,,,,,,,
16,17.325,9.6,6.2475,40.45,14.5,16.375,16.75,29.75,,,,,,,,
17,23.375,19.2,7.7425,41.15,16.25,17.25,18,30.5,,,,,,,,
18,0,0,8.4575,42.975,14,18,19.5,27.25,,,,,,,,
19,0,0,7.98,45.875,14.75,18.5,4.15625,26.25,,,,,,,,
20,0,0,7.92,47.175,12.5,18.5,4.15625,20.75,,,,,,,,
49,21.125,17.2,9.885,54.1,8.75,4.0625,4.775,10,,,,,,,,
50,18.3,13.55,9.8525,55.85,12,4.6,5.454166667,11.25,,,,,,,,
16,19.3,11.275,8.4025,35.8,12,23.45,23.875,15.25,,,,,,,,
17,10.425,10.425,8.6725,38.25,4.75,24.25,4.15625,17.5,,,,,,,,
12,12.85,20.925,7.2375,38.925,11.5,20.925,21.275,12.5,,,,,,,,
11,18.2,14.925,7.1125,31.7,14.75,15.2275,15.6175,22.25,,,,,,,,
12,22.1,19.875,7.77,33.3,15.75,15.6,16.1,21.25,,,,,,,,
41,0,21.675,11.3975,44.925,7.75,3.5,4.535,7.25,,,,,,,,
42,18.9,10.325,8.04,48.4,10,4.235,5.83,9.75,,,,,,,,
47,22.175,17.85,12.09,55.675,10.25,1.833333333,2.433333333,5.5,,,,,,,,
48,22.25,25.65,12.6125,54.3,10.5,2.333333333,3.121428571,7,,,,,,,,
49,20.8,22.4,11.1825,48.6,12,3.083333333,3.954166667,9,,,,,,,,
43,15.925,14.475,9.0275,38.975,13,6.6,6.925,13.75,,,,,,,,
44,28.075,7.9,7.755,41.4,12.75,7.3325,7.4,13.25,,,,,,,,
42,15.15,12.575,6.675,39.35,12,3,3.583333333,7.75,,,,,,,,
43,14,0,8.32,41.475,14.25,3.666666667,4.15625,9.75,,,,,,,,
